Martin packaging metrics,domingo, 5 dez 2021 21:19:11 WET
Package,A,Ca,Ce,D,I
"org.jabref.model.entry.identifier","0,14",221,20,"0,77","0,08"
"org.jabref.model.entry.types","0,09",2 155,3 133,"0,32","0,59"
"org.jabref.model.groups","0,26",901,215,"0,54","0,17"
"org.jabref.model.groups.event","0,00",2,4,"0,33","0,67"
"org.jabref.model.metadata","0,00",577,57,"0,91","0,09"
"org.jabref.model.metadata.event","0,00",3,5,"0,38","0,62"
"org.jabref.model.openoffice","0,00",25,0,"1,00","0,00"
"org.jabref.model.openoffice.backend","1,00",27,9,"0,25","0,25"
"org.jabref.model.openoffice.ootext","0,00",209,95,"0,69","0,28"
"org.jabref.model.openoffice.rangesort","0,15",50,54,"0,33","0,52"
"org.jabref.model.openoffice.style","0,30",556,82,"0,57","0,13"
"org.jabref.model.openoffice.uno","0,00",241,0,"1,00","0,00"
"org.jabref.model.openoffice.util","0,00",121,0,"1,00","0,00"
"org.jabref.model.paging","0,00",23,0,"1,00","0,00"
"org.jabref.model.pdf","0,00",132,0,"1,00","0,00"
"org.jabref.model.pdf.search","0,00",79,5,"0,94","0,06"
"org.jabref.model.push","0,00",34,0,"1,00","0,00"
"org.jabref.model.search","0,50",35,17,"0,17","0,33"
"org.jabref.model.search.matchers","0,17",33,19,"0,47","0,43"
"org.jabref.model.search.rules","0,09",451,114,"0,71","0,34"
"org.jabref.model.strings","0,00",525,0,"1,00","0,00"
"org.jabref.model.study","0,00",92,3,"0,97","0,03"
"org.jabref.model.texparser","0,00",218,6,"0,97","0,03"
"org.jabref.model.util","0,22",349,6,"0,76","0,02"
"org.jabref.preferences","0,05",1 806,848,"0,63","0,32"
"org.jabref.styletester","0,00",0,14,"0,00","1,00"

